"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,          33,      -6.418336099,      -6.532726861,       -6.46389818,      -5.829866169,      -8.561406457,      -1.860937241,       20.15413225,       8.777393749,                 0,                 0,                 0,       3.130605338,       17.98858198,        12.6349755,                 0,      0.4355133548,    0.008509893406
          0,           0,          34,      -6.372859831,      -6.488540483,      -6.420144559,      -5.774729944,      -8.614995841,      -1.728698409,       19.96165342,       8.789152551,                 0,                 0,                 0,       3.122946518,        17.7976464,        12.6079575,                 0,       0.440301831,    0.008509893406
          0,           0,          35,      -6.326887575,      -6.441078809,       -6.37318377,      -5.721729779,      -8.669569648,      -1.481059733,       19.72384393,       8.793818908,                 0,                 0,                 0,       3.110858856,       17.56371815,       12.56491444,                 0,      0.4458471149,    0.008509893406
          0,           0,          36,      -6.279494885,      -6.389865652,      -6.322107846,       -5.66921105,      -8.725111834,       -1.26212674,       19.44096075,       8.790795913,                 0,                 0,                 0,       3.094268145,       17.28716854,       12.50531294,                 0,      0.4521790885,    0.008509893406
          0,           0,          37,      -6.229149733,      -6.333211501,      -6.265473843,      -5.614845442,      -8.781608414,       -1.11457356,       19.11271348,       8.779140842,                 0,                 0,                 0,       3.072974648,       16.96790178,       12.42817122,                 0,      0.4593351357,    0.008509893406
          0,           0,          38,       -6.17544552,      -6.269574398,      -6.202424685,      -5.557672181,      -8.839048639,      -1.032735926,       18.73361481,        8.75649898,                 0,                 0,                 0,       3.045930473,       16.60101314,       12.33008358,                 0,      0.4674217479,    0.008509893406
          0,           0,          39,      -6.119629144,      -6.198090724,      -6.132954377,       -5.49867771,      -8.897427017,      -1.004586872,       18.28855615,       8.717966742,                 0,                 0,                 0,       3.010508726,        16.1726818,       12.20322062,                 0,      0.4766897219,    0.008509893406
          0,           0,          40,      -6.064547841,      -6.118201862,       -6.05749244,      -5.440640681,      -8.956744561,      -0.990494405,       17.74798255,       8.655429189,                 0,                 0,                 0,       2.962035745,       15.65557609,       12.03371416,                 0,      0.4876852433,    0.008509893406
          0,           0,          41,      -6.014346163,      -6.029000164,      -5.976087647,      -5.387763313,      -9.017004796,     -0.9997884749,       17.06607166,       8.557670843,                 0,                 0,                 0,       2.893975667,       15.00704712,       11.80140114,                 0,      0.5014435081,    0.008509893406
          0,           0,          42,       -5.97404073,      -5.930630598,      -5.888726459,       -5.34537275,      -9.078200773,     -0.9527556423,       16.18011741,       8.410311312,                 0,                 0,                 0,       2.798429482,        14.1685379,       11.47963717,                 0,      0.5197929717,     0.00851890759
          0,           0,          43,      -5.948925535,      -5.828709995,       -5.79823728,      -5.319576754,      -9.140296708,     -0.8624009126,         15.008124,       8.194084936,                 0,                 0,                 0,       2.666070556,       13.06357044,       11.03312926,                 0,      0.5459766283,     0.00851890759
          0,           0,          44,      -5.942132082,      -5.736311472,      -5.713366979,      -5.314939879,      -9.203218265,     -0.7933610851,       13.44463378,       7.879964668,                 0,                 0,                 0,       2.484602104,       11.59463446,       10.41232311,                 0,      0.5861048203,     0.00851890759
          0,           0,          45,      -5.947514462,       -5.66987742,      -5.647942344,      -5.326289827,      -9.266873227,     -0.7371971137,       11.35952238,       7.420064889,                 0,                 0,                 0,       2.235422569,       9.643828343,       9.544248867,                 0,      0.6532021896,    0.008509893406
          0,           0,          46,      -5.940791742,      -5.644623255,      -5.617171996,      -5.325700692,      -9.331229772,      -0.684458285,       8.613146942,       6.735938202,                 0,                 0,                 0,       1.890167605,        7.09004395,       8.324087967,                 0,      0.7820530925,    0.008509893406
          0,           0,          47,      -5.894266346,      -5.673055734,      -5.634786465,      -5.278524821,      -9.396408309,     -0.6088724195,       5.112348851,       5.713583202,                 0,                 0,                 0,       1.412431133,       3.864834784,       6.621494987,                 0,       1.117604328,    0.008509893406
          0,           0,          48,      -5.817999992,      -5.762437572,      -5.711446564,      -5.198307771,      -9.462547902,     -0.4894819605,       1.332410693,       4.395120235,                 0,                 0,                 0,      0.8409348732,      0.4254256669,       4.572899861,                 0,       3.298622757,    0.008509893406
          0,           0,          49,      -5.760932506,      -5.892221488,      -5.843403149,      -5.139465516,      -9.523907092,     -0.3525842476,      -2.830250502,       2.595985425,                 0,                 0,                 0,      0.1231131941,      -3.292714921,       1.976736372,                 0,     -0.9172281476,    0.008509893406
          0,           0,          50,      -5.732132637,      -5.957255537,      -5.964741209,      -5.109115793,      -9.585811723,     -0.2752301599,      -6.817138132,      0.3345484669,                 0,                 0,                 0,     -0.6966181844,      -6.746077771,      -1.037173898,                 0,    -0.04907462052,    0.008509893406
          0,           0,          51,       -5.74314634,      -5.891867278,      -5.942636509,      -5.118089175,      -9.648557577,     -0.1168506655,      -9.467299294,       -1.73721555,                 0,                 0,                 0,      -1.376740484,      -8.927759282,      -3.597608648,                 0,      0.1834964224,    0.008509893406
          0,           0,          52,      -5.814265177,      -5.833250268,       -5.87274443,       -5.18481696,      -9.702042284,    -0.05837825405,      -11.04925761,      -3.877417775,                 0,                 0,                 0,      -1.993231456,      -10.04916577,      -6.011216973,                 0,      0.3509211128,    0.008509893406
          0,           0,          53,      -5.914893746,      -5.789706187,      -5.807853508,      -5.282711349,      -9.757527097,     -0.1583295675,      -11.27663113,      -5.480381961,                 0,                 0,                 0,      -2.380563686,      -9.950984758,      -7.627247105,                 0,      0.4859946112,    0.008509893406
          0,           0,          54,      -6.049230893,      -5.786375686,      -5.786682052,      -5.417041447,       -9.80508095,     -0.2234047786,      -10.27823675,      -6.735378063,                 0,                 0,                 0,      -2.589377018,      -8.721528427,      -8.656928455,                 0,       0.655304818,    0.008509893406
          0,           0,          55,       -6.17038461,      -5.792386703,      -5.775981595,      -5.554319056,      -9.854296164,      -0.440948886,      -8.572930442,      -7.339419974,                 0,                 0,                 0,      -2.588757382,      -6.929810887,      -8.907297176,                 0,      0.8561156566,    0.008509893406
          0,           0,          56,       -6.24084547,      -5.828711452,         -5.798659,      -5.649109081,      -9.896445474,     -0.5472546711,      -6.595020201,       -7.44923878,                 0,                 0,                 0,      -2.448933211,      -4.969964385,       -8.61886906,                 0,       1.129524786,    0.008509893406
          0,           0,          57,      -6.241995537,      -5.889122586,      -5.846983471,      -5.659248934,      -9.932887074,     -0.5453113522,      -4.115915269,      -7.085762477,                 0,                 0,                 0,      -2.153443995,      -2.613836777,      -7.766379187,                 0,       1.721552076,    0.008509893406
          0,           0,          58,      -6.196139028,      -5.959882116,      -5.904326116,      -5.602751103,      -9.971223482,     -0.5129314907,      -1.858109705,      -6.401082895,                 0,                 0,                 0,      -1.798490207,     -0.5388395882,      -6.643499515,                 0,        3.44494347,    0.008509893406
          0,           0,          59,      -6.162596171,      -6.053761847,      -5.985692313,      -5.557638151,       -10.0046514,      -0.385542018,      0.5178459017,      -5.288882956,                 0,                 0,                 0,      -1.329310086,       1.566315737,      -5.078100266,                 0,      -10.21323706,    0.008509893406
          0,           0,          60,       -6.12722039,      -6.151988063,      -6.073917703,      -5.511245669,      -10.03998985,     -0.4287838385,       2.600646622,      -3.913161229,                 0,                 0,                 0,     -0.8206968942,       3.331489335,      -3.313211805,                 0,      -1.504687794,    0.008509893406
          0,           0,          61,      -6.108764436,      -6.218649114,      -6.149286093,      -5.485223138,      -10.07407114,     -0.3606497314,       4.419982524,      -2.194347946,                 0,                 0,                 0,     -0.2520502219,       4.769838363,       -1.26493099,                 0,     -0.4964607744,    0.008509893406
          0,           0,          62,      -6.096380332,      -6.187182039,      -6.151618092,      -5.467788626,      -10.10985478,     -0.3642972841,       5.571172857,     -0.5973381715,                 0,                 0,                 0,      0.2289660995,       5.577959401,      0.5302346827,                 0,     -0.1072194647,    0.008509893406
          0,           0,          63,      -6.123267557,      -6.120304867,      -6.105898331,      -5.490129404,      -10.14107451,     -0.3559218369,       6.269544659,        1.14521115,                 0,                 0,                 0,       0.703472318,       5.913290958,       2.377328091,                 0,      0.1826625716,    0.008509893406
          0,           0,          64,      -6.155823072,      -6.042096466,      -6.033297986,      -5.520057137,      -10.17392461,     -0.4694573536,       6.419017843,       2.588148587,                 0,                 0,                 0,       1.056584875,       5.770828094,        3.82097452,                 0,      0.4032000924,    0.008509893406
          0,           0,          65,      -6.219828748,      -6.006763149,      -5.997050573,      -5.580306745,      -10.20278864,     -0.5039572768,       6.078231285,       3.968138249,                 0,                 0,                 0,       1.348165501,       5.160636669,       5.104786566,                 0,      0.6528442343,    0.008509893406
          0,           0,          66,      -6.274111334,      -5.984681129,      -5.972782937,      -5.635240721,      -10.23345611,     -0.6451583995,       5.416103246,       4.947750554,                 0,                 0,                 0,       1.514210946,       4.315775573,         5.9319888,                 0,      0.9135258928,    0.008509893406
          0,           0,          67,      -6.325720455,      -6.000896749,      -5.987904273,      -5.689870071,      -10.26050717,     -0.6964638524,        4.36094928,       5.679581879,                 0,                 0,                 0,       1.582588134,       3.135458639,         6.4377347,                 0,       1.302372835,    0.008509893406
          0,           0,          68,      -6.329512839,      -6.030402907,      -6.018823297,      -5.701745585,      -10.28922553,     -0.7778075638,       3.246608551,       6.004078932,                 0,                 0,                 0,       1.548239704,       1.978711144,       6.532544153,                 0,       1.849338729,    0.008509893406
